OBJECTID,MGF005V11_,Cnt_MGF005V11_
-1,0.000000000000000,303
-1,1.000000000000000,1
-1,2.000000000000000,1
-1,3.000000000000000,1
-1,4.000000000000000,1
-1,5.000000000000000,1
-1,6.000000000000000,1
-1,7.000000000000000,1
-1,8.000000000000000,1
-1,9.000000000000000,1
-1,10.000000000000000,1
-1,11.000000000000000,1
-1,12.000000000000000,1
-1,13.000000000000000,1
-1,14.000000000000000,1
-1,15.000000000000000,1
-1,16.000000000000000,1
-1,17.000000000000000,1
-1,18.000000000000000,1
-1,19.000000000000000,1
-1,20.000000000000000,1
-1,21.000000000000000,1
-1,22.000000000000000,1
-1,23.000000000000000,1
-1,24.000000000000000,1
-1,25.000000000000000,1
-1,26.000000000000000,1
-1,27.000000000000000,1
-1,28.000000000000000,1
-1,29.000000000000000,1
-1,30.000000000000000,1
-1,31.000000000000000,1
-1,33.000000000000000,1
-1,34.000000000000000,1
-1,35.000000000000000,2
-1,37.000000000000000,1
-1,38.000000000000000,1
-1,39.000000000000000,1
-1,40.000000000000000,1
-1,41.000000000000000,1
-1,42.000000000000000,1
-1,45.000000000000000,1
-1,47.000000000000000,1
-1,49.000000000000000,1
-1,50.000000000000000,1
-1,51.000000000000000,1
-1,53.000000000000000,1
-1,56.000000000000000,1
-1,57.000000000000000,1
-1,58.000000000000000,1
-1,59.000000000000000,1
-1,60.000000000000000,1
-1,63.000000000000000,1
-1,64.000000000000000,1
-1,65.000000000000000,1
-1,66.000000000000000,1
-1,68.000000000000000,1
-1,69.000000000000000,1
-1,70.000000000000000,1
-1,74.000000000000000,1
-1,77.000000000000000,1
-1,78.000000000000000,1
-1,79.000000000000000,1
-1,80.000000000000000,1
-1,81.000000000000000,1
-1,82.000000000000000,1
-1,83.000000000000000,1
-1,85.000000000000000,1
-1,87.000000000000000,1
-1,88.000000000000000,1
-1,89.000000000000000,1
-1,90.000000000000000,1
-1,91.000000000000000,1
-1,92.000000000000000,1
-1,93.000000000000000,1
-1,94.000000000000000,1
-1,95.000000000000000,1
-1,96.000000000000000,1
-1,97.000000000000000,1
-1,98.000000000000000,1
-1,99.000000000000000,1
-1,100.000000000000000,1
-1,101.000000000000000,1
-1,102.000000000000000,1
-1,103.000000000000000,1
-1,105.000000000000000,1
-1,106.000000000000000,1
-1,107.000000000000000,1
-1,108.000000000000000,1
-1,110.000000000000000,1
-1,111.000000000000000,1
-1,112.000000000000000,1
-1,113.000000000000000,1
-1,114.000000000000000,1
-1,115.000000000000000,1
-1,116.000000000000000,1
-1,118.000000000000000,1
-1,119.000000000000000,1
-1,120.000000000000000,1
-1,121.000000000000000,1
-1,122.000000000000000,1
-1,125.000000000000000,1
-1,126.000000000000000,1
-1,127.000000000000000,1
-1,128.000000000000000,1
-1,129.000000000000000,1
-1,130.000000000000000,1
-1,131.000000000000000,1
-1,132.000000000000000,1
-1,133.000000000000000,1
-1,134.000000000000000,1
-1,135.000000000000000,1
-1,136.000000000000000,1
-1,137.000000000000000,1
-1,138.000000000000000,1
-1,139.000000000000000,1
-1,140.000000000000000,1
-1,141.000000000000000,1
-1,142.000000000000000,1
-1,143.000000000000000,1
-1,144.000000000000000,1
-1,145.000000000000000,1
-1,146.000000000000000,1
-1,147.000000000000000,1
-1,148.000000000000000,1
-1,149.000000000000000,1
-1,150.000000000000000,1
-1,151.000000000000000,1
-1,152.000000000000000,1
-1,153.000000000000000,1
-1,154.000000000000000,1
-1,155.000000000000000,1
-1,156.000000000000000,1
-1,157.000000000000000,1
-1,158.000000000000000,1
-1,160.000000000000000,1
-1,161.000000000000000,1
-1,162.000000000000000,1
-1,163.000000000000000,1
-1,164.000000000000000,1
-1,165.000000000000000,1
-1,166.000000000000000,1
-1,167.000000000000000,1
-1,168.000000000000000,1
-1,169.000000000000000,1
-1,170.000000000000000,1
-1,171.000000000000000,1
-1,172.000000000000000,1
-1,174.000000000000000,1
-1,175.000000000000000,1
-1,176.000000000000000,1
-1,177.000000000000000,1
-1,178.000000000000000,1
-1,179.000000000000000,1
-1,180.000000000000000,1
-1,181.000000000000000,1
-1,182.000000000000000,1
-1,183.000000000000000,1
-1,184.000000000000000,1
-1,185.000000000000000,1
-1,186.000000000000000,1
-1,188.000000000000000,1
-1,189.000000000000000,1
-1,190.000000000000000,1
-1,191.000000000000000,1
-1,192.000000000000000,1
-1,194.000000000000000,1
-1,196.000000000000000,1
-1,197.000000000000000,1
-1,198.000000000000000,1
-1,199.000000000000000,1
-1,201.000000000000000,1
-1,203.000000000000000,1
-1,204.000000000000000,1
-1,208.000000000000000,1
-1,211.000000000000000,1
-1,212.000000000000000,1
-1,213.000000000000000,1
-1,214.000000000000000,1
-1,215.000000000000000,1
-1,216.000000000000000,1
-1,218.000000000000000,1
-1,220.000000000000000,1
-1,221.000000000000000,1
-1,222.000000000000000,1
-1,223.000000000000000,1
-1,226.000000000000000,1
-1,227.000000000000000,1
-1,228.000000000000000,1
-1,230.000000000000000,1
-1,231.000000000000000,1
-1,232.000000000000000,1
-1,234.000000000000000,1
-1,235.000000000000000,1
-1,236.000000000000000,1
-1,237.000000000000000,1
-1,238.000000000000000,1
-1,239.000000000000000,1
-1,240.000000000000000,1
-1,241.000000000000000,1
-1,243.000000000000000,1
-1,246.000000000000000,1
-1,248.000000000000000,1
-1,249.000000000000000,1
-1,251.000000000000000,1
-1,253.000000000000000,1
-1,256.000000000000000,1
-1,257.000000000000000,1
-1,258.000000000000000,1
-1,259.000000000000000,1
-1,260.000000000000000,1
-1,261.000000000000000,1
-1,262.000000000000000,1
-1,263.000000000000000,1
-1,264.000000000000000,1
-1,265.000000000000000,1
-1,266.000000000000000,1
-1,267.000000000000000,1
-1,268.000000000000000,1
-1,269.000000000000000,1
-1,270.000000000000000,1
-1,271.000000000000000,1
-1,272.000000000000000,1
-1,274.000000000000000,1
-1,275.000000000000000,1
-1,276.000000000000000,1
-1,277.000000000000000,1
-1,278.000000000000000,1
-1,281.000000000000000,1
-1,282.000000000000000,1
-1,283.000000000000000,1
-1,285.000000000000000,1
-1,286.000000000000000,1
-1,287.000000000000000,2
-1,288.000000000000000,1
-1,291.000000000000000,1
-1,292.000000000000000,1
-1,297.000000000000000,1
-1,299.000000000000000,1
-1,300.000000000000000,1
-1,301.000000000000000,1
-1,302.000000000000000,1
-1,303.000000000000000,1
-1,304.000000000000000,1
-1,305.000000000000000,1
-1,308.000000000000000,1
-1,309.000000000000000,1
-1,310.000000000000000,1
-1,311.000000000000000,1
-1,312.000000000000000,1
-1,313.000000000000000,1
-1,314.000000000000000,1
-1,315.000000000000000,1
-1,318.000000000000000,1
-1,319.000000000000000,1
-1,320.000000000000000,1
-1,321.000000000000000,3
-1,323.000000000000000,1
-1,324.000000000000000,1
-1,326.000000000000000,1
-1,327.000000000000000,1
-1,328.000000000000000,1
-1,329.000000000000000,1
-1,330.000000000000000,1
-1,331.000000000000000,1
-1,332.000000000000000,1
-1,333.000000000000000,1
-1,334.000000000000000,1
-1,335.000000000000000,1
-1,336.000000000000000,1
-1,337.000000000000000,1
-1,338.000000000000000,1
-1,339.000000000000000,1
-1,340.000000000000000,1
-1,341.000000000000000,1
-1,342.000000000000000,1
-1,344.000000000000000,1
-1,345.000000000000000,1
-1,346.000000000000000,2
-1,347.000000000000000,1
-1,348.000000000000000,1
-1,349.000000000000000,1
-1,350.000000000000000,1
-1,351.000000000000000,1
-1,352.000000000000000,1
-1,353.000000000000000,1
-1,354.000000000000000,1
-1,355.000000000000000,1
-1,356.000000000000000,1
-1,357.000000000000000,1
-1,358.000000000000000,1
-1,359.000000000000000,1
-1,360.000000000000000,1
-1,361.000000000000000,1
-1,362.000000000000000,1
-1,363.000000000000000,1
-1,364.000000000000000,1
-1,365.000000000000000,1
-1,366.000000000000000,1
-1,367.000000000000000,1
-1,368.000000000000000,1
-1,369.000000000000000,1
-1,370.000000000000000,1
-1,371.000000000000000,1
-1,372.000000000000000,1
-1,373.000000000000000,1
-1,374.000000000000000,1
-1,375.000000000000000,1
-1,376.000000000000000,1
-1,378.000000000000000,1
-1,379.000000000000000,1
-1,380.000000000000000,1
-1,381.000000000000000,1
-1,382.000000000000000,1
-1,384.000000000000000,1
-1,385.000000000000000,1
-1,386.000000000000000,1
-1,387.000000000000000,1
-1,388.000000000000000,1
-1,390.000000000000000,1
-1,391.000000000000000,1
-1,392.000000000000000,1
-1,393.000000000000000,1
-1,394.000000000000000,1
-1,395.000000000000000,1
-1,396.000000000000000,1
-1,397.000000000000000,1
-1,398.000000000000000,1
-1,399.000000000000000,1
-1,400.000000000000000,1
-1,401.000000000000000,1
-1,403.000000000000000,1
-1,405.000000000000000,1
-1,406.000000000000000,1
-1,407.000000000000000,1
-1,408.000000000000000,1
-1,409.000000000000000,1
-1,410.000000000000000,1
-1,411.000000000000000,1
-1,412.000000000000000,1
-1,413.000000000000000,1
-1,414.000000000000000,1
-1,415.000000000000000,1
-1,416.000000000000000,1
-1,417.000000000000000,1
-1,418.000000000000000,1
-1,419.000000000000000,1
-1,420.000000000000000,1
-1,421.000000000000000,1
-1,422.000000000000000,1
-1,423.000000000000000,1
-1,424.000000000000000,1
-1,426.000000000000000,1
-1,427.000000000000000,1
-1,428.000000000000000,1
-1,429.000000000000000,1
-1,430.000000000000000,1
-1,431.000000000000000,1
-1,432.000000000000000,1
-1,433.000000000000000,1
-1,434.000000000000000,1
-1,435.000000000000000,1
-1,436.000000000000000,1
-1,437.000000000000000,1
-1,438.000000000000000,1
-1,440.000000000000000,1
-1,441.000000000000000,1
-1,443.000000000000000,1
-1,444.000000000000000,1
-1,445.000000000000000,1
-1,446.000000000000000,1
-1,447.000000000000000,1
-1,448.000000000000000,1
-1,449.000000000000000,1
-1,450.000000000000000,1
-1,451.000000000000000,1
-1,454.000000000000000,1
-1,455.000000000000000,1
-1,456.000000000000000,1
-1,457.000000000000000,1
-1,458.000000000000000,1
-1,459.000000000000000,1
-1,460.000000000000000,1
-1,461.000000000000000,1
-1,462.000000000000000,1
-1,465.000000000000000,1
-1,466.000000000000000,1
-1,467.000000000000000,1
-1,468.000000000000000,1
-1,469.000000000000000,1
-1,470.000000000000000,1
-1,471.000000000000000,1
-1,472.000000000000000,1
-1,473.000000000000000,1
-1,474.000000000000000,1
-1,475.000000000000000,1
-1,476.000000000000000,1
-1,477.000000000000000,1
-1,478.000000000000000,1
-1,479.000000000000000,1
-1,481.000000000000000,1
-1,482.000000000000000,1
-1,483.000000000000000,1
-1,486.000000000000000,1
-1,487.000000000000000,1
-1,491.000000000000000,1
-1,492.000000000000000,1
-1,493.000000000000000,1
-1,494.000000000000000,1
-1,496.000000000000000,1
-1,497.000000000000000,1
-1,499.000000000000000,1
-1,500.000000000000000,1
-1,501.000000000000000,1
